Date,FundName,Class,NAV,AdjustedNAV,Dividend,DivYield,SharesOustanding,AUM
2021-08-16,Black Diamond Distressed Opportunities Fund,F,19.64574436,19.638357432541262,0.0,0.0,2886116.026,56699897.64009511
2021-08-17,Black Diamond Distressed Opportunities Fund,F,19.28002239,19.27277297637698,0.0,0.0,2866715.509,55270339.19928025
2021-08-18,Black Diamond Distressed Opportunities Fund,F,19.75752243,19.75009347326106,0.0,0.0,2864306.943,56591608.672727235
2021-08-19,Black Diamond Distressed Opportunities Fund,F,19.23042171,19.22319094655477,0.0,0.0,2865264.491,55100244.472618505
2021-08-20,Black Diamond Distressed Opportunities Fund,F,19.15031111,19.143110468660606,0.0,0.0,2862674.387,54821105.117678545
2021-08-23,Black Diamond Distressed Opportunities Fund,F,19.22385757,19.216629274714037,0.0,0.0,2862875.321,55035507.41157203
2021-08-24,Black Diamond Distressed Opportunities Fund,F,20.14676692,20.13919160480507,0.0,0.0,2839748.102,57211743.12250639
2021-08-25,Black Diamond Distressed Opportunities Fund,F,20.02650714,20.018977043263316,0.0,0.0,2860036.113,57276533.637652345
2021-08-26,Black Diamond Distressed Opportunities Fund,F,19.93896401,19.938964009999996,0.0075,0.0,2860147.62,57028380.458467156
2021-08-27,Black Diamond Distressed Opportunities Fund,F,19.83072227,19.830722269999995,0.0,0.0,2860978.934,56735278.66047466
