ID,Security Description,Symbol,Country,Sector,Asset Class,Asset Group,Shares/Par,Market Value,% of Portfolio,Book Cost,Price Cost,Price Close,Price Change %,Attribution to Book P&L %,Coupon Rate,CUSIP,ISIN,ESG,environment,Social,Governance,Symbol Unq.
25528,Amadeus IT Holding SA,AMS SM Equity,Europe,Information Technology,Equity,Foreign Stock,"8,784","697,340",2%,"718,164",81.76,79.39,-3%,0%,0,,ES0109067019,-,-,-,-,ES0109067019 Equity
47670,23Andme Holding Co,VGAC US Equity,United States,Health Care,Equity,Domestic Stock,"61,633","680,020",2%,"759,836",12.33,11.03,-11%,0%,0,90138Q108,US90138Q1085,-,-,-,-,VGAC US Equity
39673,Fleetcor Technologies Inc.,FLT US Equity,United States,Information Technology,Equity,Domestic Stock,"1,956","651,537",2%,"662,111",338.50,333.10,-2%,0%,0,339041105,US3390411052,-,-,-,-,FLT US Equity
303,Microsoft Corp,MSFT US Equity,United States,Information Technology,Equity,Foreign Stock,"1,709","651,181",2%,"462,139",270.41,381.03,41%,0%,0,594918104,US5949181045,-,-,-,-,EQ0010174300001000 Equity
38974,Mercadolibre Inc.,MELI US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,269,"644,027",2%,"518,462",1927.37,2394.15,24%,0%,0,58733R102,US58733R1023,-,-,-,-,MELI US Equity
43255,Alsea Sab De Cv,ALSEA* MM Equity,Mexico,Consumer Discretionary,Equity,Domestic Stock,"252,200","636,946",2%,"505,459",2.00,2.53,26%,0%,0,P0212A104,MXP001391012,-,-,-,-,ALSEA* MM Equity
9420,Cboe Global Markets Inc,CBOE US Equity,United States,Financials,Equity,Foreign Stock,"3,949","634,568",2%,"460,758",116.68,160.69,38%,0%,0,12503M108,US12503M1080,-,-,-,-,EQ0000000009875726 Equity
1248,Alibaba Group Holding Ltd,BABA US Equity,China,Consumer Discretionary,Equity,Foreign Stock,"2,858","625,184",2%,"895,434",313.31,218.75,-30%,0%,0,01609W102,US01609W1027,-,-,-,-,EQ0000000035266994 Equity
40817,"Arca Continental, S.A.B. De C.V.",AC* MM Equity,Mexico,Consumer Staples,Equity,Domestic Stock,"76,700","617,306",2%,"487,636",6.36,8.05,27%,0%,0,,MX01AC100006,-,-,-,-,AC* MM Equity
1249,Alphabet Inc,GOOGL US Equity,United States,Communication Services,Equity,Foreign Stock,168,"615,955",2%,"461,639",2747.85,3666.40,33%,0%,0,02079K305,US02079K3059,-,-,-,-,EQ0000000044666717 Equity
22571,Prosus Nv,PROSF Equity,Europe,Consumer Discretionary,Equity,Foreign Stock,"5,235","607,744",2%,"531,884",101.60,116.09,14%,0%,0,,NL0013654783,-,-,-,-,NL0013654783 Equity
13294,TENCENT HOLDINGS LTD,TCEHY US Equity,United States,Communication Services,Equity,Foreign Stock,"7,291","594,220",2%,"532,121",72.98,81.50,12%,0%,0,88032Q109,US88032Q1094,-,-,-,-,B3F2DZ7 US Equity
