,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD
66,BDIN_Portfolio,OP,13,WDAY US I1721C280000 Equity,Workday Inc,-18.0,-2803.8107,2.3,1.06,-0.0,-2804.0,-0.0,0.0,C,280.0,20210917
67,BDIN_Portfolio,OP,14,SPOT US V1521C200000 Equity,Spotify Technology SA,-40.0,-6078.719,5.07,1.05,-0.0,-6079.0,-0.0,0.0,P,200.0,20211015
68,BDIN_Portfolio,OP,15,FB US I1721C380000 Equity,Facebook Inc,-21.0,-10105.8725,3.8,3.650001,-0.0,-10106.0,-0.0,0.0,C,380.0,20210917
69,BDIN_Portfolio,OP,16,AMT US J1521C300000 Equity,American Tower Corp,-16.0,-10941.6972,2.3,5.1,-0.0,-10942.0,-0.0,0.0,C,300.0,20211015
70,BDIN_Portfolio,OP,17,JKHY US I1721C185000 Equity,Jack Henry & Associates Inc,-25.0,-15196.8006,2.0,4.8,-0.0,-15197.0,-0.0,0.0,C,185.0,20210917
71,BDIN_Portfolio,OP,18,MSFT US I1721C285000 Equity,Microsoft Corp,-17.0,-28310.3712,3.1,12.7,-0.1,-28310.0,-0.1,0.0,C,285.0,20210917
72,BDIN_Portfolio,OP,19,SPY US U1721C410000 Equity,SPDR S&P 500 ETF Trust,-1200.0,-41031.3571,2.8303,0.26,-0.1,-41031.0,-0.1,0.0,P,410.0,20210917
73,BDIN_Portfolio,OP,20,AAPL US I1721C145000 Equity,Apple Inc,-36.0,-43538.8329,2.0,9.4,-0.1,-43539.0,-0.1,0.0,C,145.0,20210917
74,BDIN_Portfolio,OP,21,INTU US I1721C480000 Equity,Intuit Inc,-4.0,-47110.08,20.0,84.900009,-0.1,-47110.0,-0.1,0.0,C,480.0,20210917
75,BDIN_Portfolio,OP,22,MELI US I1721B170000 Equity,MercadoLibre Inc,-2.0,-48376.48,25.5,182.5,-0.1,-48376.0,-0.1,0.0,C,1700.0,20210917
