,Symbol,LastStockPrice,LastStockPriceDate,ZoneYYYYMMDD,MMRatio,StdevRatio,ZoneNum,ZoneLabel,BDPos,OptionTicker,Strike,OptionBid,ImpliedYield,StrikeRatio,LongName,Currency,ShareOut,MarketCap,MarketCapUSD,Exchange,MarketCapComma,MarketCapLabel,BDPosDetails,BDPosUSDValue,ExchangeRate,BDCallOptPos,BDCallOptDets,OptionExpiry,BDEQPos,BDEQPosUSDValue,BDEQCallOptPos,MaxBTStrikeRatio,BTStrikeCount
157,TRUL.CN,34.06,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.0,1.0,9.0,pLvH,0,,,,,,Trulieve Cannabis Corp.,CAD,70521600.0,6306719744.0,4919.054476,CNQ,"6,306.72 MM",Mid Cap,,0.0,1.2821,0,,,0,0.0,0,,
158,TSLA,680.26,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.66,0.03,4.0,p-vL,0,TSLA211119C00930000,930.0,9.4,0.04043,0.367124,Tesla Inc.,USD,990014976.0,673467596800.0,673467.5968,NMS,"673,467.60 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,19.981025,35.0
159,TYL,472.68,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.64,0.0,4.0,p-vL,0,TYL211217C00520000,520.0,9.9,0.038077,0.10011,Tyler Technologies Inc.,USD,40843400.0,19305857024.0,19305.857024,NYQ,"19,305.86 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,18.88326,19.0
160,UBER,39.95,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.01,0.6,8.0,pLv-,21954,UBER211119C00052500,52.5,0.45,0.034286,0.314143,Uber Technologies Inc.,USD,1884349952.0,75279785984.0,75279.785984,NYQ,"75,279.79 MM",Large Cap,"IN(11,869) EQ(10,085)",877062.32,1.0,-25800,IN(-118) EQ(-140),2021-11-19,10085,402895.76,-14000,16.163296,4.0
161,UNP,223.71,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.67,1.0,6.0,p-vH,0,UNP211119C00245000,245.0,2.05,0.033469,0.095168,Union Pacific Corporation,USD,652123008.0,145886445568.0,145886.445568,NYQ,"145,886.45 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,19.047617,39.0
162,URI,330.13,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.57,0.98,6.0,p-vH,0,URI211217C00400000,400.0,6.0,0.045,0.211644,United Rentals Inc.,USD,72390096.0,23898142720.0,23898.14272,NYQ,"23,898.14 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,17.945925,19.0
163,V,231.36,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.1,0.56,8.0,pLv-,3159,V211119C00255000,255.0,2.52,0.039529,0.102178,Visa Inc.,USD,1687640064.0,507694088192.0,507694.088192,NYQ,"507,694.09 MM",Large Cap,"IN(1,668) EQ(1,491)",730866.24,1.0,-3100,IN(-17) EQ(-14),2021-11-19,1491,344957.76,-1400,18.603864,34.0
164,VNET,15.95,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.13,0.45,8.0,pLv-,0,VNET211217C00024000,24.0,0.55,0.045833,0.504702,21Vianet Group Inc.,USD,143680000.0,2291695872.0,2291.695872,NMS,"2,291.70 MM",Mid Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,,
165,VRSK,196.39,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,0.97,3.0,pHvH,0,VRSK211217C00200000,200.0,5.7,0.0855,0.018382,Verisk Analytics Inc.,USD,161350000.0,31687526400.0,31687.5264,NMS,"31,687.53 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,17.24053,22.0
166,VRSN,213.04,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.17,1.0,9.0,pLvH,0,VRSN211119C00220000,220.0,5.7,0.103636,0.03267,VeriSign Inc.,USD,111874000.0,23833636864.0,23833.636864,NMS,"23,833.64 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,17.736902,26.0
167,WAT,402.25,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.92,0.88,3.0,pHvH,0,WAT211119C00460000,460.0,4.9,0.042609,0.143567,Waters Corporation,USD,61363400.0,24805591040.0,24805.59104,NYQ,"24,805.59 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,18.133489,20.0
168,WDAY,235.95,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.48,0.0,4.0,p-vL,6354,WDAY211217C00250000,250.0,12.85,0.1542,0.059547,Workday Inc.,USD,189000000.0,58279649280.0,58279.64928,NMS,"58,279.65 MM",Large Cap,"IN(3,182) EQ(3,172)",1499226.28,1.0,-4300,IN(-18) EQ(-25),2021-12-17,3172,748433.39,-2500,18.43172,23.0
169,WYNN,88.3,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.0,1.0,9.0,pLvH,28884,WYNN211217C00120000,120.0,1.38,0.0345,0.359003,Wynn Resorts Limited,USD,115672000.0,10213837824.0,10213.837824,NMS,"10,213.84 MM",Large Cap,"IN(4,138) OP(20,612) EQ(4,134)",2550457.29,1.0,-5800,EQ(-58),2021-12-17,4134,365032.21,-5800,19.72138,22.0
170,XRAY,59.86,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.19,1.0,9.0,pLvH,0,XRAY211015C00065000,65.0,0.5,0.046154,0.085867,DENTSPLY SIRONA Inc.,USD,218551008.0,13082463232.0,13082.463232,NMS,"13,082.46 MM",Large Cap,,0.0,1.0,0,,2021-10-15,0,0.0,0,16.050709,21.0
171,YUM,134.46,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.97,1.0,3.0,pHvH,0,YUM211015C00145000,145.0,0.6,0.024828,0.078388,Yum! Brands Inc.,USD,295647008.0,39752699904.0,39752.699904,NYQ,"39,752.70 MM",Large Cap,,0.0,1.0,0,,2021-10-15,0,0.0,0,19.21535,19.0
172,ZTS,207.05,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,0.35,2.0,pHv-,0,ZTS211015C00250000,250.0,2.4,0.0384,0.207438,Zoetis Inc.,USD,473944000.0,98130108416.0,98130.108416,NYQ,"98,130.11 MM",Large Cap,,0.0,1.0,0,,2021-10-15,0,0.0,0,19.948332,23.0
173,SPY,443.36,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.89,0.92,3.0,pHvH,0,SPY211119C00461000,461.0,4.65,0.040347,0.039787,SPDR S&P 500 ETF Trust,USD,917782016.0,406907813888.0,406907.813888,PCX,"406,907.81 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,18.764846,180.0
174,URTH,129.7,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.79,0.61,2.0,pHv-,0,URTH211217C00134000,134.0,1.55,0.023134,0.033153,iShares MSCI World ETF,USD,6900000.0,894929984.0,894.929984,PCX,894.93 MM,Small Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,13.717978,10.0
175,XWD,,,,,,,,0,,,,,,,,,,,,,,,0.0,1.0,0,,,0,0.0,0,,
176,XUS,,,,,,,,0,,,,,,,,,,,,,,,0.0,1.0,0,,,0,0.0,0,,
